haberturk.com,2023-05-22,6
haberturk.com,2023-05-23,6
haberturk.com,2023-05-24,4
haberturk.com,2023-05-25,6
haberturk.com,2023-05-26,3
haberturk.com,2023-05-27,7
haberturk.com,2023-05-28,0
haberturk.com,2023-05-29,5
haberturk.com,2023-05-30,10
haberturk.com,2023-05-31,9
haberturk.com,2023-06-01,15
haberturk.com,2023-06-02,13
haberturk.com,2023-06-03,12
haberturk.com,2023-06-04,11
haberturk.com,2023-06-05,5
haberturk.com,2023-06-06,8
haberturk.com,2023-06-07,5
haberturk.com,2023-06-08,5
haberturk.com,2023-06-09,10
haberturk.com,2023-06-10,9
haberturk.com,2023-06-11,3
haberturk.com,2023-06-12,7
haberturk.com,2023-06-13,10
haberturk.com,2023-06-14,10
haberturk.com,2023-06-15,10
haberturk.com,2023-06-16,13
haberturk.com,2023-06-17,7
haberturk.com,2023-06-18,6
haberturk.com,2023-06-19,8
haberturk.com,2023-06-20,6
haberturk.com,2023-06-21,7
haberturk.com,2023-06-22,2
haberturk.com,2023-06-23,5
haberturk.com,2023-06-24,5
haberturk.com,2023-06-25,6
haberturk.com,2023-06-26,9
haberturk.com,2023-06-27,4
haberturk.com,2023-06-28,6
haberturk.com,2023-06-29,5
haberturk.com,2023-06-30,7
haberturk.com,2023-07-01,1
haberturk.com,2023-07-02,5
haberturk.com,2023-07-03,4
haberturk.com,2023-07-04,8
haberturk.com,2023-07-05,6
haberturk.com,2023-07-06,0
haberturk.com,2023-07-07,0
haberturk.com,2023-07-08,0
haberturk.com,2023-07-09,0
haberturk.com,2023-07-10,0
haberturk.com,2023-07-11,0
haberturk.com,2023-07-12,0
haberturk.com,2023-07-13,0
haberturk.com,2023-07-14,0
haberturk.com,2023-07-15,0
haberturk.com,2023-07-16,0
haberturk.com,2023-07-17,0
haberturk.com,2023-07-18,0
haberturk.com,2023-07-19,0
haberturk.com,2023-07-20,0
haberturk.com,2023-07-21,0
haberturk.com,2023-07-22,0
haberturk.com,2023-07-23,0
haberturk.com,2023-07-24,0
haberturk.com,2023-07-25,0
haberturk.com,2023-07-26,0
haberturk.com,2023-07-27,0
haberturk.com,2023-07-28,0
haberturk.com,2023-07-29,0
haberturk.com,2023-07-30,0
haberturk.com,2023-07-31,0
haberturk.com,2023-08-01,0
haberturk.com,2023-08-02,0
haberturk.com,2023-08-03,0
haberturk.com,2023-08-04,0
haberturk.com,2023-08-05,0
haberturk.com,2023-08-06,0
haberturk.com,2023-08-07,0
haberturk.com,2023-08-08,0
haberturk.com,2023-08-09,0
haberturk.com,2023-08-10,0
haberturk.com,2023-08-11,0
haberturk.com,2023-08-12,0
haberturk.com,2023-08-13,0
haberturk.com,2023-08-14,0
haberturk.com,2023-08-15,0
haberturk.com,2023-08-16,0
haberturk.com,2023-08-17,0
haberturk.com,2023-08-18,0
haberturk.com,2023-08-19,0
haberturk.com,2023-08-20,0
haberturk.com,2023-08-21,0
haberturk.com,2023-08-22,0
haberturk.com,2023-08-23,0
haberturk.com,2023-08-24,0
haberturk.com,2023-08-25,0
haberturk.com,2023-08-26,0
haberturk.com,2023-08-27,0
haberturk.com,2023-08-28,0
haberturk.com,2023-08-29,0
haberturk.com,2023-08-30,0
haberturk.com,2023-08-31,0
haberturk.com,2023-09-01,0
haberturk.com,2023-09-02,0
haberturk.com,2023-09-03,0
haberturk.com,2023-09-04,0
haberturk.com,2023-09-05,0
haberturk.com,2023-09-06,0
haberturk.com,2023-09-07,0
haberturk.com,2023-09-08,0
haberturk.com,2023-09-09,0
haberturk.com,2023-09-10,0
haberturk.com,2023-09-11,0
haberturk.com,2023-09-12,0
haberturk.com,2023-09-13,0
haberturk.com,2023-09-14,0
haberturk.com,2023-09-15,0
haberturk.com,2023-09-16,0
haberturk.com,2023-09-17,0
haberturk.com,2023-09-18,0
haberturk.com,2023-09-19,0
haberturk.com,2023-09-20,0
haberturk.com,2023-09-21,0
haberturk.com,2023-09-22,0
haberturk.com,2023-09-23,0
haberturk.com,2023-09-24,0
haberturk.com,2023-09-25,0
haberturk.com,2023-09-26,0
haberturk.com,2023-09-27,0
haberturk.com,2023-09-28,0
haberturk.com,2023-09-29,0
haberturk.com,2023-09-30,0
haberturk.com,2023-10-01,0
haberturk.com,2023-10-02,0
haberturk.com,2023-10-03,0
haberturk.com,2023-10-04,0
haberturk.com,2023-10-05,0
haberturk.com,2023-10-06,0
haberturk.com,2023-10-07,0
haberturk.com,2023-10-08,0
haberturk.com,2023-10-09,0
haberturk.com,2023-10-10,0
haberturk.com,2023-10-11,0
haberturk.com,2023-10-12,0
haberturk.com,2023-10-13,0
haberturk.com,2023-10-14,0
haberturk.com,2023-10-15,0
haberturk.com,2023-10-16,0
haberturk.com,2023-10-17,0
haberturk.com,2023-10-18,0
haberturk.com,2023-10-19,0
haberturk.com,2023-10-20,0
haberturk.com,2023-10-21,0
haberturk.com,2023-10-22,0
haberturk.com,2023-10-23,0
haberturk.com,2023-10-24,0
haberturk.com,2023-10-25,0
haberturk.com,2023-10-26,0
haberturk.com,2023-10-27,0
haberturk.com,2023-10-28,0
haberturk.com,2023-10-29,0
haberturk.com,2023-10-30,0
haberturk.com,2023-10-31,0
haberturk.com,2023-11-01,0
haberturk.com,2023-11-02,0
haberturk.com,2023-11-03,0
haberturk.com,2023-11-04,0
haberturk.com,2023-11-05,0
haberturk.com,2023-11-06,0
haberturk.com,2023-11-07,0
haberturk.com,2023-11-08,0
haberturk.com,2023-11-09,0
haberturk.com,2023-11-10,0
haberturk.com,2023-11-11,0
haberturk.com,2023-11-12,0
haberturk.com,2023-11-13,0
haberturk.com,2023-11-14,0
haberturk.com,2023-11-15,0
haberturk.com,2023-11-16,0
haberturk.com,2023-11-17,0
haberturk.com,2023-11-18,0
haberturk.com,2023-11-19,0
haberturk.com,2023-11-20,0
haberturk.com,2023-11-21,0
haberturk.com,2023-11-22,0
haberturk.com,2023-11-23,0
haberturk.com,2023-11-24,0
haberturk.com,2023-11-25,0
haberturk.com,2023-11-26,0
haberturk.com,2023-11-27,0
haberturk.com,2023-11-28,1
haberturk.com,2023-11-29,7
haberturk.com,2023-11-30,8
haberturk.com,2023-12-01,5
haberturk.com,2023-12-02,8
haberturk.com,2023-12-03,9
haberturk.com,2023-12-04,5
haberturk.com,2023-12-05,7
haberturk.com,2023-12-06,5
haberturk.com,2023-12-07,2
haberturk.com,2023-12-08,3
haberturk.com,2023-12-09,6
haberturk.com,2023-12-10,6
haberturk.com,2023-12-11,1
haberturk.com,2023-12-12,4
haberturk.com,2023-12-13,4
haberturk.com,2023-12-14,4
haberturk.com,2023-12-15,4
haberturk.com,2023-12-16,9
haberturk.com,2023-12-17,9
haberturk.com,2023-12-18,11
haberturk.com,2023-12-19,8
haberturk.com,2023-12-20,9
haberturk.com,2023-12-21,5
haberturk.com,2023-12-22,7
haberturk.com,2023-12-23,3
haberturk.com,2023-12-24,6
haberturk.com,2023-12-25,4
haberturk.com,2023-12-26,3
haberturk.com,2023-12-27,6
haberturk.com,2023-12-28,3
haberturk.com,2023-12-29,2
haberturk.com,2023-12-30,2
haberturk.com,2023-12-31,4
yenisafak.com,2023-01-01,0
yenisafak.com,2023-01-02,0
yenisafak.com,2023-01-03,0
yenisafak.com,2023-01-04,0
yenisafak.com,2023-01-05,0
yenisafak.com,2023-01-06,0
yenisafak.com,2023-01-07,0
yenisafak.com,2023-01-08,0
yenisafak.com,2023-01-09,0
yenisafak.com,2023-01-10,0
yenisafak.com,2023-01-11,0
yenisafak.com,2023-01-12,0
yenisafak.com,2023-01-13,0
yenisafak.com,2023-01-14,0
yenisafak.com,2023-01-15,0
yenisafak.com,2023-01-16,0
yenisafak.com,2023-01-17,0
yenisafak.com,2023-01-18,0
yenisafak.com,2023-01-19,0
yenisafak.com,2023-01-20,0
yenisafak.com,2023-01-21,0
yenisafak.com,2023-01-22,0
yenisafak.com,2023-01-23,0
yenisafak.com,2023-01-24,0
yenisafak.com,2023-01-25,0
yenisafak.com,2023-01-26,0
yenisafak.com,2023-01-27,0
yenisafak.com,2023-01-28,0
yenisafak.com,2023-01-29,0
yenisafak.com,2023-01-30,0
yenisafak.com,2023-01-31,0
yenisafak.com,2023-02-01,0
yenisafak.com,2023-02-02,0
yenisafak.com,2023-02-03,0
yenisafak.com,2023-02-04,0
yenisafak.com,2023-02-05,0
yenisafak.com,2023-02-06,0
yenisafak.com,2023-02-07,0
yenisafak.com,2023-02-08,0
yenisafak.com,2023-02-09,0
yenisafak.com,2023-02-10,0
yenisafak.com,2023-02-11,0
yenisafak.com,2023-02-12,0
yenisafak.com,2023-02-13,0
yenisafak.com,2023-02-14,0
yenisafak.com,2023-02-15,0
yenisafak.com,2023-02-16,0
yenisafak.com,2023-02-17,0
yenisafak.com,2023-02-18,0
yenisafak.com,2023-02-19,0
yenisafak.com,2023-02-20,0
yenisafak.com,2023-02-21,0
yenisafak.com,2023-02-22,0
yenisafak.com,2023-02-23,0
yenisafak.com,2023-02-24,0
yenisafak.com,2023-02-25,0
yenisafak.com,2023-02-26,0
yenisafak.com,2023-02-27,0
yenisafak.com,2023-02-28,0
yenisafak.com,2023-03-01,0
yenisafak.com,2023-03-02,0
yenisafak.com,2023-03-03,0
yenisafak.com,2023-03-04,0
yenisafak.com,2023-03-05,0
yenisafak.com,2023-03-06,0
yenisafak.com,2023-03-07,0
yenisafak.com,2023-03-08,0
yenisafak.com,2023-03-09,0
yenisafak.com,2023-03-10,0
yenisafak.com,2023-03-11,0
yenisafak.com,2023-03-12,0
yenisafak.com,2023-03-13,0
yenisafak.com,2023-03-14,0
yenisafak.com,2023-03-15,0
yenisafak.com,2023-03-16,0
yenisafak.com,2023-03-17,0
yenisafak.com,2023-03-18,0
yenisafak.com,2023-03-19,0
yenisafak.com,2023-03-20,0
yenisafak.com,2023-03-21,0
yenisafak.com,2023-03-22,0
yenisafak.com,2023-03-23,0
yenisafak.com,2023-03-24,0
yenisafak.com,2023-03-25,0
yenisafak.com,2023-03-26,0
yenisafak.com,2023-03-27,0
yenisafak.com,2023-03-28,0
yenisafak.com,2023-03-29,0
yenisafak.com,2023-03-30,0
yenisafak.com,2023-03-31,0
yenisafak.com,2023-04-01,0
yenisafak.com,2023-04-02,0
yenisafak.com,2023-04-03,0
yenisafak.com,2023-04-04,0
yenisafak.com,2023-04-05,0
yenisafak.com,2023-04-06,0
yenisafak.com,2023-04-07,0
yenisafak.com,2023-04-08,0
yenisafak.com,2023-04-09,0
yenisafak.com,2023-04-10,0
yenisafak.com,2023-04-11,0
yenisafak.com,2023-04-12,0
yenisafak.com,2023-04-13,1
yenisafak.com,2023-04-14,2
yenisafak.com,2023-04-15,0
yenisafak.com,2023-04-16,0
yenisafak.com,2023-04-17,0
yenisafak.com,2023-04-18,0
yenisafak.com,2023-04-19,0
yenisafak.com,2023-04-20,0
yenisafak.com,2023-04-21,0
yenisafak.com,2023-04-22,1
yenisafak.com,2023-04-23,0
yenisafak.com,2023-04-24,0
yenisafak.com,2023-04-25,0
yenisafak.com,2023-04-26,0
yenisafak.com,2023-04-27,1
yenisafak.com,2023-04-28,1
yenisafak.com,2023-04-29,1
yenisafak.com,2023-04-30,0
yenisafak.com,2023-05-01,0
yenisafak.com,2023-05-02,0
yenisafak.com,2023-05-03,1
yenisafak.com,2023-05-04,0
yenisafak.com,2023-05-05,1
yenisafak.com,2023-05-06,1
yenisafak.com,2023-05-07,1
yenisafak.com,2023-05-08,0
yenisafak.com,2023-05-09,0
yenisafak.com,2023-05-10,1
yenisafak.com,2023-05-11,0
yenisafak.com,2023-05-12,0
yenisafak.com,2023-05-13,0
yenisafak.com,2023-05-14,0
yenisafak.com,2023-05-15,0
yenisafak.com,2023-05-16,0
yenisafak.com,2023-05-17,0
yenisafak.com,2023-05-18,0
yenisafak.com,2023-05-19,0
yenisafak.com,2023-05-20,1
yenisafak.com,2023-05-21,1
yenisafak.com,2023-05-22,1
yenisafak.com,2023-05-23,1
yenisafak.com,2023-05-24,0
yenisafak.com,2023-05-25,0
yenisafak.com,2023-05-26,0
yenisafak.com,2023-05-27,0
yenisafak.com,2023-05-28,0
yenisafak.com,2023-05-29,0
yenisafak.com,2023-05-30,0
yenisafak.com,2023-05-31,0
yenisafak.com,2023-06-01,0
yenisafak.com,2023-06-02,0
yenisafak.com,2023-06-03,0
yenisafak.com,2023-06-04,0
yenisafak.com,2023-06-05,0
yenisafak.com,2023-06-06,1
yenisafak.com,2023-06-07,0
yenisafak.com,2023-06-08,1
yenisafak.com,2023-06-09,0
yenisafak.com,2023-06-10,0
yenisafak.com,2023-06-11,0
yenisafak.com,2023-06-12,1
yenisafak.com,2023-06-13,0
yenisafak.com,2023-06-14,2
yenisafak.com,2023-06-15,2
yenisafak.com,2023-06-16,0
yenisafak.com,2023-06-17,0
yenisafak.com,2023-06-18,1
yenisafak.com,2023-06-19,1
yenisafak.com,2023-06-20,1
yenisafak.com,2023-06-21,0
yenisafak.com,2023-06-22,1
yenisafak.com,2023-06-23,0
yenisafak.com,2023-06-24,1
yenisafak.com,2023-06-25,1
yenisafak.com,2023-06-26,3
yenisafak.com,2023-06-27,0
yenisafak.com,2023-06-28,0
yenisafak.com,2023-06-29,0
yenisafak.com,2023-06-30,0
yenisafak.com,2023-07-01,0
yenisafak.com,2023-07-02,2
yenisafak.com,2023-07-03,2
yenisafak.com,2023-07-04,1
yenisafak.com,2023-07-05,1
yenisafak.com,2023-07-06,0
yenisafak.com,2023-07-07,0
yenisafak.com,2023-07-08,1
yenisafak.com,2023-07-09,0
yenisafak.com,2023-07-10,0
yenisafak.com,2023-07-11,1
yenisafak.com,2023-07-12,2
yenisafak.com,2023-07-13,1
yenisafak.com,2023-07-14,0
yenisafak.com,2023-07-15,0
yenisafak.com,2023-07-16,1
yenisafak.com,2023-07-17,9
yenisafak.com,2023-07-18,3
yenisafak.com,2023-07-19,2
yenisafak.com,2023-07-20,0
yenisafak.com,2023-07-21,0
yenisafak.com,2023-07-22,0
yenisafak.com,2023-07-23,0
yenisafak.com,2023-07-24,0
yenisafak.com,2023-07-25,0
yenisafak.com,2023-07-26,0
yenisafak.com,2023-07-27,0
yenisafak.com,2023-07-28,0
yenisafak.com,2023-07-29,0
yenisafak.com,2023-07-30,5
yenisafak.com,2023-07-31,2
yenisafak.com,2023-08-01,0
yenisafak.com,2023-08-02,1
yenisafak.com,2023-08-03,0
yenisafak.com,2023-08-04,0
yenisafak.com,2023-08-05,0
yenisafak.com,2023-08-06,0
yenisafak.com,2023-08-07,0
yenisafak.com,2023-08-08,0
yenisafak.com,2023-08-09,0
yenisafak.com,2023-08-10,0
yenisafak.com,2023-08-11,0
yenisafak.com,2023-08-12,1
yenisafak.com,2023-08-13,1
yenisafak.com,2023-08-14,0
yenisafak.com,2023-08-15,0
yenisafak.com,2023-08-16,1
yenisafak.com,2023-08-17,0
yenisafak.com,2023-08-18,1
yenisafak.com,2023-08-19,0
yenisafak.com,2023-08-20,1
yenisafak.com,2023-08-21,1
yenisafak.com,2023-08-22,0
yenisafak.com,2023-08-23,2
yenisafak.com,2023-08-24,1
yenisafak.com,2023-08-25,0
yenisafak.com,2023-08-26,0
yenisafak.com,2023-08-27,1
yenisafak.com,2023-08-28,2
yenisafak.com,2023-08-29,0
yenisafak.com,2023-08-30,2
yenisafak.com,2023-08-31,0
yenisafak.com,2023-09-01,1
yenisafak.com,2023-09-02,0
yenisafak.com,2023-09-03,2
yenisafak.com,2023-09-04,7
yenisafak.com,2023-09-05,2
yenisafak.com,2023-09-06,2
yenisafak.com,2023-09-07,3
yenisafak.com,2023-09-08,0
yenisafak.com,2023-09-09,0
yenisafak.com,2023-09-10,0
yenisafak.com,2023-09-11,0
yenisafak.com,2023-09-12,0
yenisafak.com,2023-09-13,0
yenisafak.com,2023-09-14,0
yenisafak.com,2023-09-15,0
yenisafak.com,2023-09-16,0
yenisafak.com,2023-09-17,0
yenisafak.com,2023-09-18,3
yenisafak.com,2023-09-19,2
yenisafak.com,2023-09-20,1
yenisafak.com,2023-09-21,0
yenisafak.com,2023-09-22,0
yenisafak.com,2023-09-23,2
yenisafak.com,2023-09-24,1
yenisafak.com,2023-09-25,1
yenisafak.com,2023-09-26,0
yenisafak.com,2023-09-27,0
yenisafak.com,2023-09-28,0
yenisafak.com,2023-09-29,0
yenisafak.com,2023-09-30,1
yenisafak.com,2023-10-01,1
yenisafak.com,2023-10-02,0
yenisafak.com,2023-10-03,0
yenisafak.com,2023-10-04,0
yenisafak.com,2023-10-05,0
yenisafak.com,2023-10-06,0
yenisafak.com,2023-10-07,0
yenisafak.com,2023-10-08,0
yenisafak.com,2023-10-09,0
yenisafak.com,2023-10-10,1
yenisafak.com,2023-10-11,0
yenisafak.com,2023-10-12,0
yenisafak.com,2023-10-13,0
yenisafak.com,2023-10-14,0
yenisafak.com,2023-10-15,0
yenisafak.com,2023-10-16,0
yenisafak.com,2023-10-17,0
yenisafak.com,2023-10-18,0
yenisafak.com,2023-10-19,0
yenisafak.com,2023-10-20,0
yenisafak.com,2023-10-21,1
yenisafak.com,2023-10-22,0
yenisafak.com,2023-10-23,0
yenisafak.com,2023-10-24,0
yenisafak.com,2023-10-25,1
yenisafak.com,2023-10-26,0
yenisafak.com,2023-10-27,0
yenisafak.com,2023-10-28,0
yenisafak.com,2023-10-29,0
yenisafak.com,2023-10-30,0
yenisafak.com,2023-10-31,0
yenisafak.com,2023-11-01,0
yenisafak.com,2023-11-02,1
yenisafak.com,2023-11-03,1
yenisafak.com,2023-11-04,0
yenisafak.com,2023-11-05,0
yenisafak.com,2023-11-06,0
yenisafak.com,2023-11-07,0
yenisafak.com,2023-11-08,1
yenisafak.com,2023-11-09,0
yenisafak.com,2023-11-10,0
yenisafak.com,2023-11-11,0
yenisafak.com,2023-11-12,0
yenisafak.com,2023-11-13,0
yenisafak.com,2023-11-14,0
yenisafak.com,2023-11-15,0
yenisafak.com,2023-11-16,0
yenisafak.com,2023-11-17,0
yenisafak.com,2023-11-18,0
yenisafak.com,2023-11-19,0
yenisafak.com,2023-11-20,0
yenisafak.com,2023-11-21,0
yenisafak.com,2023-11-22,0
yenisafak.com,2023-11-23,0
yenisafak.com,2023-11-24,0
yenisafak.com,2023-11-25,0
yenisafak.com,2023-11-26,0
yenisafak.com,2023-11-27,0
yenisafak.com,2023-11-28,0
yenisafak.com,2023-11-29,0
yenisafak.com,2023-11-30,0
yenisafak.com,2023-12-01,0
yenisafak.com,2023-12-02,0
yenisafak.com,2023-12-03,0
yenisafak.com,2023-12-04,0
yenisafak.com,2023-12-05,0
yenisafak.com,2023-12-06,0
yenisafak.com,2023-12-07,0
yenisafak.com,2023-12-08,0
yenisafak.com,2023-12-09,0
yenisafak.com,2023-12-10,0
yenisafak.com,2023-12-11,0
yenisafak.com,2023-12-12,0
yenisafak.com,2023-12-13,0
yenisafak.com,2023-12-14,0
yenisafak.com,2023-12-15,0
yenisafak.com,2023-12-16,0
yenisafak.com,2023-12-17,0
yenisafak.com,2023-12-18,0
yenisafak.com,2023-12-19,0
yenisafak.com,2023-12-20,0
yenisafak.com,2023-12-21,0
yenisafak.com,2023-12-22,0
yenisafak.com,2023-12-23,0
yenisafak.com,2023-12-24,0
yenisafak.com,2023-12-25,0
yenisafak.com,2023-12-26,0
yenisafak.com,2023-12-27,0
yenisafak.com,2023-12-28,0
yenisafak.com,2023-12-29,0
yenisafak.com,2023-12-30,0
yenisafak.com,2023-12-31,0
sozcu.com.tr,2023-01-01,0
sozcu.com.tr,2023-01-02,1
sozcu.com.tr,2023-01-03,0
sozcu.com.tr,2023-01-04,2
sozcu.com.tr,2023-01-05,1
sozcu.com.tr,2023-01-06,1
sozcu.com.tr,2023-01-07,0
sozcu.com.tr,2023-01-08,0
sozcu.com.tr,2023-01-09,0
sozcu.com.tr,2023-01-10,0
sozcu.com.tr,2023-01-11,2
sozcu.com.tr,2023-01-12,0
sozcu.com.tr,2023-01-13,0
sozcu.com.tr,2023-01-14,0
sozcu.com.tr,2023-01-15,1
sozcu.com.tr,2023-01-16,1
sozcu.com.tr,2023-01-17,0
sozcu.com.tr,2023-01-18,0
sozcu.com.tr,2023-01-19,0
sozcu.com.tr,2023-01-20,0
sozcu.com.tr,2023-01-21,0
sozcu.com.tr,2023-01-22,0
sozcu.com.tr,2023-01-23,0
sozcu.com.tr,2023-01-24,1
sozcu.com.tr,2023-01-25,0
sozcu.com.tr,2023-01-26,0
sozcu.com.tr,2023-01-27,0
sozcu.com.tr,2023-01-28,0
sozcu.com.tr,2023-01-29,0
sozcu.com.tr,2023-01-30,1
sozcu.com.tr,2023-01-31,0
sozcu.com.tr,2023-02-01,0
sozcu.com.tr,2023-02-02,1
sozcu.com.tr,2023-02-03,0
sozcu.com.tr,2023-02-04,1
sozcu.com.tr,2023-02-05,1
sozcu.com.tr,2023-02-06,3
sozcu.com.tr,2023-02-07,2
sozcu.com.tr,2023-02-08,3
sozcu.com.tr,2023-02-09,3
sozcu.com.tr,2023-02-10,2
sozcu.com.tr,2023-02-11,2
sozcu.com.tr,2023-02-12,0
sozcu.com.tr,2023-02-13,1
sozcu.com.tr,2023-02-14,0
sozcu.com.tr,2023-02-15,11
sozcu.com.tr,2023-02-16,1
sozcu.com.tr,2023-02-17,0
sozcu.com.tr,2023-02-18,1
sozcu.com.tr,2023-02-19,0
sozcu.com.tr,2023-02-20,3
sozcu.com.tr,2023-02-21,0
sozcu.com.tr,2023-02-22,1
sozcu.com.tr,2023-02-23,0
sozcu.com.tr,2023-02-24,1
sozcu.com.tr,2023-02-25,0
sozcu.com.tr,2023-02-26,0
sozcu.com.tr,2023-02-27,0
sozcu.com.tr,2023-02-28,1
sozcu.com.tr,2023-03-01,1
sozcu.com.tr,2023-03-02,2
sozcu.com.tr,2023-03-03,1
sozcu.com.tr,2023-03-04,3
sozcu.com.tr,2023-03-05,0
sozcu.com.tr,2023-03-06,3
sozcu.com.tr,2023-03-07,2
sozcu.com.tr,2023-03-08,0
sozcu.com.tr,2023-03-09,0
sozcu.com.tr,2023-03-10,2
sozcu.com.tr,2023-03-11,1
sozcu.com.tr,2023-03-12,1
sozcu.com.tr,2023-03-13,2
sozcu.com.tr,2023-03-14,1
sozcu.com.tr,2023-03-15,2
sozcu.com.tr,2023-03-16,4
sozcu.com.tr,2023-03-17,2
sozcu.com.tr,2023-03-18,0
sozcu.com.tr,2023-03-19,0
sozcu.com.tr,2023-03-20,0
sozcu.com.tr,2023-03-21,2
sozcu.com.tr,2023-03-22,0
sozcu.com.tr,2023-03-23,2
sozcu.com.tr,2023-03-24,2
sozcu.com.tr,2023-03-25,1
sozcu.com.tr,2023-03-26,0
sozcu.com.tr,2023-03-27,1
sozcu.com.tr,2023-03-28,0
sozcu.com.tr,2023-03-29,1
sozcu.com.tr,2023-03-30,2
sozcu.com.tr,2023-03-31,0
sozcu.com.tr,2023-04-01,0
sozcu.com.tr,2023-04-02,0
sozcu.com.tr,2023-04-03,0
sozcu.com.tr,2023-04-04,0
sozcu.com.tr,2023-04-05,1
sozcu.com.tr,2023-04-06,2
sozcu.com.tr,2023-04-07,0
sozcu.com.tr,2023-04-08,0
sozcu.com.tr,2023-04-09,0
sozcu.com.tr,2023-04-10,0
sozcu.com.tr,2023-04-11,1
sozcu.com.tr,2023-04-12,4
